Achievement,Role
Improved team's time efficiency by introducing automation.,Automation Engineer
Re-worked corporate financial forecast model and boosted Top Management's confidence.,BI Developer
Re-worked corporate financial forecast model and boosted Top Management's confidence.,Business Analyst
Re-worked corporate financial forecast model and boosted Top Management's confidence.,Data Modeler
Re-worked corporate financial forecast model and boosted Top Management's confidence.,Product Designer
Acted as CFO proxy addressing P&L related questions from all US Account Managers.,Business Analyst
Acted as CFO proxy addressing P&L related questions from all US Account Managers.,Data Analyst
"Provided data for IPO, earnings calls, Top Management, BoD, SEC, investors, auditors.",Consultant
"Provided data for IPO, earnings calls, Top Management, BoD, SEC, investors, auditors.",Data Analyst
"Provided data for IPO, earnings calls, Top Management, BoD, SEC, investors, auditors.",Data Modeler
Developed certain KPIs for SEC reporting.,Business Analyst
Developed certain KPIs for SEC reporting.,Data Analyst
Reported directly to two (consecutive) CFOs. ,Consultant
Took part in executive reviews and assisted Top Management in corporate goals setting.,Consultant
Created widely used and highly acclaimed financial and HR dashboards and tools.,BI Developer
Created widely used and highly acclaimed financial and HR dashboards and tools.,Product Designer
Created a game-changing discovery POC and got extended way beyond discovery only.,BI Developer
Created a game-changing discovery POC and got extended way beyond discovery only.,Product Designer
Outperformed a senior design team in choosing the proper data visualization techniques.,Product Designer
Completely redesigned legacy merged credit report on an extremely tight timeline.,Product Designer
Completely redesigned legacy merged credit report on an extremely tight timeline.,QA Engineer
Primary contributor to the redesign of corporate data model.,Data Modeler
Improved collaboration between teams and optimized delivery processes.,Dev Team Lead
BI self-service framework creation primary contributor.,BI Developer
Changed the project course by uncovering the state of the data quality to the Client.,Data Analyst
Trained an efficient team of Tableau developers.,Dev Team Lead
Gained expertise on the product features and started consulting the Client.,Business Analyst
Gained expertise on the product features and started consulting the Client.,Consultant
Created a logic emulator that significantly improved QA and UAT processes.,BI Developer
"Created the application ""brain"" and populated it with business data.",Business Analyst
"Created the application ""brain"" and populated it with business data.",Data Analyst
A primary UI/UX ideas contributor.,Product Designer
Greatly improved the overall quality of the Client's financial reporting capabilities and data.,BI Developer
Greatly improved the overall quality of the Client's financial reporting capabilities and data.,Data Modeler
Migrated a large number of teams to a new centralized BI environment.,BI Developer
Authored changes to the corporate data model and in-house data management solution.,Data Analyst
Created comprehensive documentation space for business users and developers.,Business Analyst
Created comprehensive documentation space for business users and developers.,Consultant
